PN   CTRD keV   FWHM keV  Net Area  Backgrnd   Net C/S  %Err
01                                                            
02     295.31       1.83      1797     10851     5.990   14.19
03     352.04       1.65      8945      7297    29.817    2.25
04     511.15       3.32      3998      7688    13.327    5.68
05     609.39       1.89     48945      5222   163.150    0.57
06     768.47       2.10      6328      4215    21.093    2.78
07     934.11       2.16      4254      3809    14.180    3.83
08    1120.38       2.41     19998      2896    66.660    0.98
09    1238.25       2.53      7727      2431    25.757    2.01
10    1377.74       2.79      5054      2167    16.847    2.73
11    1460.97       1.56       547      1525     1.823   16.82
12    1509.24       2.97      2765      1871     9.217    4.23
13    1729.67       3.03      3243       718    10.810    2.71
14    1764.60       3.17     17902       839    59.673    0.88
15    1847.46       3.12      2395       455     7.983    3.01
16    2204.17       3.93      4899       260    16.330    1.69
