PN   CTRD keV   FWHM keV  Net Area  Backgrnd   Net C/S  %Err
01     242.10       1.47       762     12222     2.540   30.97
02     295.34       1.57      5241     15312    17.470    5.88
03     352.02       1.60     17727      9213    59.090    1.35
04     511.01       2.76      3005      8851    10.017    7.99
05     609.37       1.86     43182      5937   143.940    0.63
06     768.45       2.07      5116      4133    17.053    3.34
07     934.11       2.30      3241      3577    10.803    4.78
08    1120.32       2.49     15898      2885    52.993    1.16
09    1238.18       2.49      6352      2097    21.173    2.25
10    1377.68       2.75      4058      1936    13.527    3.18
11    1460.96       3.52       480      1438     1.600   18.54
12    1509.33       3.03      2181      1547     7.270    4.86
13    1729.66       3.33      2770       610     9.233    2.92
14    1764.60       3.27     14689       710    48.963    0.97
15    1847.51       3.40      1798       512     5.993    3.89
16    2204.08       3.90      4233       176    14.110    1.75
