PN   CTRD keV   FWHM keV  Net Area  Backgrnd   Net C/S  %Err
01     241.91       1.42       334     11200     1.113   67.37
02     295.36       1.54      3566     13698    11.887    8.10
03     352.02       1.64     12089      8150    40.297    1.80
04     511.05       2.71      2443      7926     8.143    9.29
05     609.37       1.85     32594      4879   108.647    0.74
06     768.37       2.14      4046      3625    13.487    3.93
07     934.17       2.27      2480      3171     8.267    5.85
08    1120.35       2.44     12863      2480    42.877    1.31
09    1238.20       2.62      4904      1961    16.347    2.73
10    1377.66       2.77      3502      1513    11.673    3.28
11    1461.04       2.29       546      1208     1.820   15.02
12    1509.25       2.93      1796      1344     5.987    5.46
13    1729.71       3.30      2415       517     8.050    3.11
14    1764.59       3.13     12227       810    40.757    1.12
15    1847.52       3.45      1542       382     5.140    4.02
16    2204.14       3.90      3532       143    11.773    1.93
