PN   CTRD keV   FWHM keV  Net Area  Backgrnd   Net C/S  %Err
01     242.06       1.43      1514     13909     5.047   16.71
02     295.32       1.69     11123     18072    37.077    3.07
03     352.01       1.63     36012     11347   120.040    0.81
04     511.12       2.77      4690     10845    15.633    5.71
05     609.38       1.88     78579      6847   261.930    0.43
06     768.43       1.97      8653      5162    28.843    2.28
07     934.14       2.29      4775      4804    15.917    3.79
08    1120.36       2.43     24986      3275    83.287    0.86
09    1238.20       2.46      8962      3043    29.873    1.91
10    1377.77       2.74      6315      2184    21.050    2.26
11    1460.79       2.99       672      1767     2.240   14.73
12    1509.29       3.05      3248      2045    10.827    3.79
13    1729.76       3.32      3813       801    12.710    2.47
14    1764.62       3.26     20767      1011    69.223    0.82
15    1847.50       2.84      2543       667     8.477    3.22
16    2204.25       3.79      5664       345    18.880    1.61
