PN   CTRD keV   FWHM keV  Net Area  Backgrnd   Net C/S  %Err
01     242.08       1.55      2138     16275     7.127   12.86
02     295.31       1.62     16316     20445    54.387    2.26
03     352.01       1.61     48677     13313   162.257    0.67
04     511.05       3.13      5811     11248    19.370    4.72
05     609.37       1.88     95091      7635   316.970    0.39
06     768.42       2.01     10589      5302    35.297    1.93
07     934.15       2.32      5970      4867    19.900    3.10
08    1120.32       2.48     28286      3723    94.287    0.81
09    1238.23       2.60     10900      3026    36.333    1.61
10    1377.73       2.73      6936      2486    23.120    2.19
11    1460.93       2.80       575      1975     1.917   18.09
12    1509.37       2.88      3444      2475    11.480    3.89
13    1729.64       3.25      4205       925    14.017    2.38
14    1764.59       3.19     23072      1118    76.907    0.78
15    1847.50       3.18      3000       703    10.000    2.87
16    2204.20       3.70      6227       423    20.757    1.56
