PN   CTRD keV   FWHM keV  Net Area  Backgrnd   Net C/S  %Err
01                                                            
02     295.30       1.96      1465      9759     4.883   16.52
03     352.01       1.66      6429      6940    21.430    2.97
04     511.06       2.94      3104      7662    10.347    7.22
05     609.39       1.85     43119      5057   143.730    0.61
06     768.40       2.01      5803      4012    19.343    2.95
07     934.12       2.18      3715      3746    12.383    4.31
08    1120.41       2.41     18659      2917    62.197    1.03
09    1238.21       2.58      7241      2391    24.137    2.10
10    1377.81       2.70      4844      2068    16.147    2.79
11    1461.06       2.50       638      1408     2.127   13.95
12    1509.28       3.12      2344      1958     7.813    4.99
13    1729.74       3.15      3278       625    10.927    2.56
14    1764.59       3.18     16873       774    56.243    0.90
15    1847.43       3.57      2153       481     7.177    3.34
16    2204.19       3.59      4836       163    16.120    1.61
