PN   CTRD keV   FWHM keV  Net Area  Backgrnd   Net C/S  %Err
01                                                            
02     295.30       1.11       657      9425     2.190   35.92
03     352.02       1.65      4908      6150    16.360    3.63
04     511.01       3.16      3440      6836    11.467    6.22
05     609.40       1.86     37668      4910   125.560    0.67
06     768.42       2.12      5274      3794    17.580    3.15
07     934.12       2.15      3756      3272    12.520    4.02
08    1120.37       2.46     17762      2661    59.207    1.05
09    1238.21       2.59      6898      2102    22.993    2.10
10    1377.77       2.77      4679      1832    15.597    2.76
11    1460.80       2.69       681      1296     2.270   12.63
12    1509.33       2.91      2470      1711     8.233    4.53
13    1729.66       3.33      3020       615    10.067    2.75
14    1764.58       3.21     16045       824    53.483    0.94
15    1847.49       3.36      2148       403     7.160    3.17
16    2204.26       3.76      4489       163    14.963    1.69
