PN   CTRD keV   FWHM keV  Net Area  Backgrnd   Net C/S  %Err
01     241.98       1.77      1962     14385     6.540   13.15
02     295.31       1.61     12546     18874    41.820    2.79
03     352.01       1.62     39412     12253   131.373    0.77
04     511.02       2.92      4909     11186    16.363    5.54
05     609.38       1.88     84427      7341   281.423    0.42
06     768.43       2.10      9240      5133    30.800    2.14
07     934.16       2.16      5770      4500    19.233    3.10
08    1120.36       2.44     25726      3509    85.753    0.85
09    1238.20       2.50      9582      3026    31.940    1.80
10    1377.74       2.62      6323      2415    21.077    2.34
11    1460.87       2.90       642      1829     2.140   15.58
12    1509.37       3.09      3288      2252    10.960    3.89
13    1729.67       3.14      4136       842    13.787    2.35
14    1764.59       3.22     21672       939    72.240    0.79
15    1847.56       3.41      2644       667     8.813    3.10
16    2204.23       3.72      5761       345    19.203    1.58
