PN   CTRD keV   FWHM keV  Net Area  Backgrnd   Net C/S  %Err
01     242.12       0.90       976     13577     3.253   25.51
02     295.26       1.55      7906     17183    26.353    4.16
03     351.99       1.60     25771     10263    85.903    1.03
04     510.95       2.80      3731      9744    12.437    6.78
05     609.32       1.89     57833      6266   192.777    0.52
06     768.36       2.03      6765      4471    22.550    2.68
07     934.10       2.33      3969      3876    13.230    4.11
08    1120.31       2.42     19176      3115    63.920    1.03
09    1238.15       2.64      7328      2516    24.427    2.12
10    1377.70       2.74      4879      2112    16.263    2.79
11    1460.74       2.83       581      1458     1.937   15.49
12    1509.19       3.14      2752      1745     9.173    4.14
13    1729.61       3.33      3182       713    10.607    2.73
14    1764.53       3.14     17370       874    57.900    0.90
15    1847.43       3.08      2182       465     7.273    3.25
16    2204.14       3.84      4644       306    15.480    1.79
