psi	phi	N
0	-70	5
0	-68	11
0	-66	7
0	-64	2
0	-62	5
0	-60	10
0	-58	7
0	-56	6
0	-54	4
0	-52	8
0	-50	6
0	-48	6
0	-46	6
0	-44	7
0	-42	6
0	-40	17
0	-38	32
0	-36	34
0	-34	57
0	-32	64
0	-30	75
0	-28	93
0	-26	167
0	-24	165
0	-22	89
0	-20	78
0	-18	78
0	-16	51
0	-14	42
0	-12	42
0	-10	20
0	-8	21
0	-6	2
0	-4	4
0	-2	2
0	0	4
0	2	5
0	4	2
0	6	2
0	8	2
0	10	3
0	12	8
0	14	8
0	16	3
0	18	6
0	20	3
0	22	3
0	24	2
0	26	7
0	28	6
0	30	5
90	-40	4
90	-38	2
90	-36	4
90	-34	5
90	-32	5
90	-30	4
90	-28	1
90	-26	5
90	-24	3
90	-22	5
90	-20	5
90	-18	2
90	-16	5
90	-14	4
90	-12	4
90	-10	2
90	-8	3
90	-6	4
90	-4	7
90	-2	3
90	0	5
90	2	10
90	4	19
90	6	34
90	8	35
90	10	54
90	12	62
90	14	79
90	16	81
90	18	77
90	20	97
90	22	124
90	24	84
90	26	64
90	28	67
90	30	63
90	32	46
90	34	34
90	36	30
90	38	14
90	40	8
