psi	phi	N
0	-40	13
0	-35	42
0	-30	82
0	-25	130
0	-20	150
0	-15	92
0	-10	58
0	-5	43
0	0	87
0	5	160
0	10	200
0	15	130
0	20	60
0	25	18
0	30	14
0	35	7
0	40	12
-60	-40	11
-60	-35	14
-60	-30	75
-60	-25	180
-60	-20	190
-60	-15	140
-60	-10	140
-60	-5	170
-60	0	200
-60	5	180
-60	10	100
-60	15	45
-60	20	10
-60	25	6
-60	30	8
-60	35	4
-60	40	4
-90	-40	12
-90	-35	6
-90	-30	6
-90	-25	44
-90	-20	140
-90	-15	230
-90	-10	270
-90	-5	250
-90	0	180
-90	5	90
-90	10	28
-90	15	8
-90	20	9
-90	25	11
-90	30	7
-90	35	6
-90	40	2
